"userid","tweetid"
"10","10"
"23","23"
"27","27"
"40","40"
"27","45"
"47","48"
"52","53"
"60","61"
"66","67"
"27","80"
"95","98"
"104","107"
"131","134"
"135","138"
"136","139"
"140","146"
"162","169"
"167","174"
"176","184"
"184","192"
"187","195"
"203","213"
"204","214"
"219","230"
"230","241"
"232","244"
"140","262"
"280","300"
"307","330"
"308","331"
"309","332"
"316","339"
"321","347"
"337","365"
"340","368"
"341","370"
"350","379"
"357","388"
"373","404"
"392","425"
"394","427"
"397","430"
"414","448"
"427","463"
"431","467"
"445","484"
"460","503"
"463","506"
"484","529"
"40","547"
"502","548"
"507","554"
"511","558"
"535","583"
"539","587"
"540","588"
"550","598"
"555","603"
"567","622"
"590","648"
"595","653"
"611","670"
"627","687"
"635","696"
"636","697"
"644","705"
"645","706"
"140","716"
"666","730"
"671","735"
"673","737"
"678","742"
"691","757"
"701","768"
"705","772"
"708","777"
"709","778"
"140","783"
"732","815"
"140","817"
"734","818"
"739","824"
"750","843"
"756","850"
"763","857"
"766","860"
"775","870"
"793","897"
"831","946"
"832","947"
"203","949"
"840","959"
"858","978"
"636","984"
"872","996"
"879","1003"
"880","1004"
"882","1006"
"890","1016"
"893","1019"
"879","1025"
"901","1031"
"908","1039"
"911","1042"
"914","1046"
"918","1050"
"921","1054"
"922","1055"
"924","1057"
"879","1086"
"949","1088"
"951","1090"
"972","1111"
"978","1118"
"949","1120"
"879","1121"
"879","1133"
"993","1140"
"995","1142"
"998","1145"
"879","1154"
"1009","1158"
"1024","1173"
"1032","1181"
"879","1183"
"1036","1187"
"1037","1188"
"879","1206"
"1057","1212"
"140","1215"
"879","1217"
"1062","1221"
"1067","1226"
"1069","1228"
"1072","1231"
"1086","1246"
"1090","1251"
"879","1252"
"1091","1253"
"1095","1257"
"879","1287"
"1128","1291"
"1131","1294"
"879","1306"
"1143","1310"
"1155","1324"
"140","1325"
"1161","1332"
"1067","1345"
"879","1347"
"1072","1362"
"140","1373"
"1195","1375"
"879","1376"
"1198","1379"
"1067","1402"
"879","1408"
"1246","1434"
"879","1436"
"1248","1438"
"1252","1442"
"1255","1445"
"1264","1454"
"1067","1456"
"879","1459"
"1267","1461"
"1278","1473"
"1067","1478"
"1307","1505"
"879","1509"
"1315","1516"
"1307","1531"
"879","1534"
"1339","1545"
"978","1550"
"1345","1552"
"1348","1555"
"1352","1559"
"879","1567"
"1370","1581"
"1371","1582"
"1378","1590"
"879","1593"
"1383","1596"
"1390","1603"
"1405","1618"
"1415","1633"
"1418","1637"
"879","1641"
"1433","1656"
"1447","1675"
"1449","1677"
"1455","1684"
"1469","1701"
"879","1706"
"1474","1707"
"1488","1723"
"1494","1729"
"1498","1734"
"1502","1738"
"1508","1744"
"879","1749"
"1515","1754"
"1143","1757"
"879","1760"
"1539","1782"
"879","1784"
"40","1788"
"1544","1789"
"1547","1792"
"1549","1795"
"1551","1797"
"1555","1801"
"1560","1806"
"1563","1809"
"879","1810"
"879","1825"
"1589","1840"
"1591","1842"
"1595","1846"
"1597","1848"
"879","1850"
"1599","1851"
"1603","1855"
"1604","1856"
"1612","1864"
"1627","1882"
"879","1889"
"1638","1895"
"1656","1916"
"879","1922"
"1666","1929"
"1670","1933"
"879","1946"
"879","1958"
"1710","1980"
"1712","1982"
"40","1983"
"1714","1985"
"1719","1990"
"879","1994"