"text","tweetid","hashtagid"
"instagram","1","8"
"instagram","8","11"
"instagram","106","63"
"instagram","119","82"
"instagram","120","100"
"instagram","141","126"
"instagram","142","144"
"instagram","143","162"
"instagram","175","173"
"instagram","182","189"
"instagram","225","228"
"instagram","227","247"
"instagram","251","273"
"instagram","311","310"
"instagram","359","334"
"instagram","360","352"
"instagram","405","413"
"instagram","409","422"
"instagram","421","427"
"instagram","425","449"
"instagram","435","460"
"instagram","443","491"
"instagram","447","507"
"instagram","462","535"
"instagram","474","551"
"instagram","475","569"
"instagram","492","600"
"instagram","626","720"
"instagram","635","746"
"instagram","644","769"
"instagram","673","797"
"instagram","720","840"
"instagram","728","846"
"instagram","760","872"
"instagram","814","922"
"instagram","821","939"
"instagram","822","967"
"instagram","913","1026"
"instagram","930","1040"
"instagram","956","1051"
"instagram","965","1071"
"instagram","1008","1105"
"instagram","1029","1129"
"instagram","1030","1146"
"instagram","1056","1171"
"instagram","1065","1200"
"instagram","1113","1254"
"instagram","1200","1302"
"instagram","1218","1317"
"instagram","1219","1333"
"instagram","1267","1364"
"instagram","1290","1383"
"instagram","1312","1405"
"instagram","1315","1428"
"instagram","1378","1450"
"instagram","1394","1463"
"instagram","1396","1471"
"instagram","1403","1493"
"instagram","1430","1534"
"instagram","1455","1584"
"instagram","1482","1616"
"instagram","1486","1621"
"instagram","1512","1645"
"instagram","1528","1653"
"instagram","1619","1712"
"instagram","1620","1729"
"instagram","1621","1755"
"instagram","1628","1767"
"instagram","1630","1772"
"instagram","1636","1786"
"instagram","1638","1812"
"instagram","1664","1826"
"instagram","1716","1898"
"instagram","1717","1913"
"instagram","1741","1930"
"instagram","1750","1950"
"instagram","1772","1990"
"instagram","1773","2007"
"instagram","1806","2051"
"instagram","1826","2061"
"instagram","1863","2088"
"instagram","1910","2126"
"instagram","1937","2143"